id	caption	abstract	facet.collaborators	facet.publication	facet.subject	facet.year	img	pdf	primary	reference	thumb	text	video
36	V4V	"We present a View for the Viewer (v4v), a slide viewer that focuses on the needs of the viewer of a presentation instead of the presenter. Our design centers on representing the deck of slides as a stack embedded in a 3-D world. With only single button clicks, the viewer can quickly and easily navigate the deck of slides. We provide four types of annotation techniques and have designed a synchronization mechanism that makes it easy for the viewer to move in and out of sync with the presenter. We also supply alarms as a method for viewer notification. We evaluate our approach with a preliminary user study resulting in positive feedback about our design plus suggestions for improvements and extensions."	"Dontcheva,Cohen"	DUX	"Animation,UI,Presentation"	2005	researchImages/v4v.jpg	http://research.microsoft.com/~sdrucker/papers/v4v.pdf	Presentation	"Dontcheva M., Drucker S., Cohen M., v4v: a View for the Viewer, DUX 2005"	thumbnail/v4v.jpg	v4v.txt	http://research.microsoft.com/~sdrucker/Video/v4v.avi
37	Visual Decision Maker	"We present the Visual Decision Maker (VDM), an application that gives movie recommendations to groups of people sitting together. The VDM provides a TV like user experience: a stream of movie stills flows towards the center of the screen, and users press buttons on remote controls to vote on the currently selected movie. A collaborative filtering engine provides recommendations for each user and for the group as a whole based on the votes. Three principles guided our design of the VDM: shared focus, dynamic pacing, and encouraging conversations. In this paper we present the results of a four month public installation and a lab study showing how these design choices affected people's usage and people's experience of the VDM. Our results show that shared focus is important for users to feel that the group's tastes are represented in the recommendations."	"Regan,Roseway,Lofstrom"	DUX	"Graphics,UI,Movies,Visualization"	2005	researchImages/VDM.jpg	http://research.microsoft.com/~sdrucker/papers/vdmfinal.pdf	Media	"Drucker, S., Regan, T., Roseway, A., Lofstrom. M, The visual decision maker: a recommendation system for collocated users, DUX 2005"	thumbnail/VDM.jpg	vdmfinal.txt	http://research.microsoft.com/~sdrucker/Video/vdm.wmv
38	Exploratory Search		"White,Kules,schraefel"	ACM	"UI,Search"	2006	researchImages/CACM.png	http://research.microsoft.com/en-us/um/people/sdrucker/papers/2007introacm.pdf	UI-Information	"White RW, Kules B, Drucker SM, schraefel M. Introduction. Commun. ACM. 2006;49(4):36-39."	thumbnail/CACM.png	2007introacm.txt	
39	Powerpoint Diff	"Despite the ubiquity of slide presentations, managing multiple presentations remains a challenge. Understanding how multiple versions of a presentation are related to one another, assembling new presentations from existing presentations, and collaborating to create and edit presentations are difficult tasks. <br>  In this paper, we explore techniques for comparing and managing multiple slide presentations. We propose a general comparison framework for computing similarities and differences between slides. Based on this framework we develop an interactive tool for visually comparing multiple presentations. The interactive visualization facilitates understanding how presentations have evolved over time. We show how the interactive tool can be used to assemble new presentations from a collection of older ones and to merge changes from multiple presentation authors."	"Petschnigg,Agrawala"	UIST	"Visualization,UI,Presentation,Temporal"	2006	researchImages/vizpptdiff.jpg	http://research.microsoft.com/~sdrucker/papers/fp214-DruckerFinalSmall.pdf	Visualization	"Drucker, S. M., Petschnigg, G., and Agrawala, M. 2006. Comparing and managing multiple versions of slide presentations. In Proceedings of the 19th Annual ACM Symposium on User interface Software and Technology (Montreux, Switzerland, October 15 - 18, 2006). UIST '06. ACM Press, New York, NY, 47-56."	thumbnail/vizpptdiff.jpg	fp214-DruckerFinalSmall.txt	http://research.microsoft.com/~sdrucker/Video/pptviznew.wmv
40	Summarizing Web Sessions	"We describe a system, implemented as a browser extension, that enables users to quickly and easily collect, view, and share personal Web content. Our system employs a novel interaction model, which allows a user to specify webpage extraction patterns by interactively selecting webpage elements and applying these patterns to automatically collect similar content. Further, we present a technique for creating visual summaries of the collected information by combining user labeling with predefined layout templates. These summaries are interactive in nature: depending on the behaviors encoded in their templates, they may respond to mouse events, in addition to providing a visual summary. Finally, the summaries can be saved or sent to others to continue the research at another place or time. Informal evaluation shows that our approach works well for popular websites, and that users can quickly learn this interaction model for collecting content from the Web."	"Dontcheva,Salesin,Wade,Cohen"	UIST	"Visualization,UI,Web,Search"	2006	researchImages/webpage_photo.gif	http://research.microsoft.com/~sdrucker/papers/uistPaperSummarizing.pdf	UI-Information	"Dontcheva, M., Drucker, S. M., Wade, G., Salesin, D., and Cohen, M. F. 2006. Summarizing personal web browsing sessions. In Proceedings of the 19th Annual ACM Symposium on User interface Software and Technology (Montreux, Switzerland, October 15 - 18, 2006). UIST '06. ACM Press, New York, NY, 115-124."	thumbnail/webpage_photo.gif	uistPaperSummarizing.txt	http://research.microsoft.com/~sdrucker/Video/uistSummariesfinalCut.mov
41	Code Thumbnails	"Modern development environments provide many features for navigating source code, yet recent studies show the developers still spend a tremendous amount of time just navigating. Since existing navigation features rely heavily on memorizing symbol names, we present a new design, called Code Thumbnails, intended to allow a developer to navigate source code by forming a spa-tial memory of it. To aid intra-file navigation, we add a thumbnail image of the file to the scrollbar, which makes any part of the file one click away. To aid inter-file navigation, we provide a desktop of file thumbnail images, which make any part of any file one click away. We did a formative evaluation of the design with eleven experienced developers and present the results."	"DeLine,Czerwinski,Meyers,Venolia,Robertson"	VLL/HCC	"Visualization,Programming"	2006	researchImages/codethumb.jpg	http://research.microsoft.com/~sdrucker/papers/vlhcc06-final.pdf	Visualization	"DeLine, R., M. Czerwinski, B. Meyers, G. Venolia, S. Drucker, and G. Robertson.  Code Thumbnails: Using Spatial Memory to Navigate Source Code.  Proc. VL/HCC 2006"	thumbnail/codethumb.jpg	vdmfinal.txt	
42	Cartoon Animation Filter	"We present the 'Cartoon Animation Filter', a simple filter that takes an arbitrary input motion signal and modulates it in such a way that the output motion is more 'alive' or 'animated'. The filter adds a smoothed, inverted, and (sometimes) time shifted version of the second derivative (the acceleration) of the signal back into the original signal. Almost all parameters of the filter are automated. The user only needs to set the desired strength of the filter. The beauty of the animation filter lies in its simplicity and generality. We apply the filter to motions ranging from hand drawn trajectories, to simple animations within PowerPoint presentations, to motion captured DOF curves, to video segmentation results. Experimental results show that the filtered motion exhibits anticipation, follow-through, exaggeration and squash-and-stretch effects which are not present in the original input motion data."	"Wang,Agrawala,Cohen"	SIGGRAPH	"Graphics,Animation"	2006	researchImages/aniequation.jpg	http://research.microsoft.com/copyright/accept.asp?path=/~sdrucker/papers/TheCartoonAnimationFilter.pdf&pub=ACM	Graphics	"Jue Wang, Steven Drucker, Maneesh Agrawala, Michael Cohen, The Cartoon Animation Filter, ACM Transactions on Graphics (Proceedings of SIGGRAPH 2006), July 2006"	thumbnail/aniequation.jpg	TheCartoonAnimationFilter.txt	http://research.microsoft.com/~sdrucker/Video/af.mov
43	Step User Interfaces	"While applications are typically optimized for traditional desktop interfaces using a keyboard and mouse, there are a variety of compelling reasons to consider alternative input mechanisms that require more physical exertion, including promoting fitness, preventing Repetitive Strain Injuries, and encouraging fun. We chose to explore physical interfaces based on foot motion and have built two applications with Step User Interfaces: StepMail and StepPhoto. Both support working with email and photos using the dance pad made popular by the Dance Dance Revolution (DDR) game. Results of a formative evaluation with ten participants suggest that the interactions are intuitive to learn, somewhat enjoyable, and cause participants to increase their level of exertion over sitting at a desk. Our evaluation also revealed design considerations for Step User Interfaces, including balancing effort across the body, avoiding needless exertion, and choosing target applications with care."	"Meyers,Brush,Smith,Czerwinski"	SIGCHI	"UI,Photos"	2006	researchImages/stepUI27.jpg	http://research.microsoft.com/~sdrucker/papers/stepUICHI06.pdf	Photos	"Meyers, B., Brush, A. B., Drucker, S., Smith, M. A., and Czerwinski, M. 2006. Dance your work away: exploring step user interfaces. In CHI '06 Human Factors in Computing Systems (Montr??al, Qu??bec, Canada, April 22 - 27, 2006). CHI '06. ACM Press, New York, NY, 387-392."	thumbnail/stepUI27.jpg	stepUICHI06.txt	http://research.microsoft.com/~sdrucker/Video/StepStar.wmv
44	"Relations, Templates"	"in collecting and organizing Web content. First, we demonstrate an interface for creating associations between websites, which facilitate the automatic retrieval of related content. Second, we present an authoring interface that allows users to quickly merge content from many different websites into a uniform and personalized representation, which we call a card. Finally, we introduce a novel search paradigm that leverages the relationships in a card to direct search queries to extract relevant content from multipleWeb sources and fill a new series of cards instead of just returning a list of webpage URLs. Preliminary feedback from users is positive and validates our design"	"Dontcheva,Cohen,Salesin"	UIST	"Visualization,UI,Search"	2007	researchImages/relations.png	http://research.microsoft.com/~sdrucker/papers/DontchevaUist07.pdf	UI-Information	"Dontcheva, M, Drucker, S.M., Cohen, M., Salesin, D. Relations, Cards, and Search Templates: User-guided Web Data Integration and Layout, To Appear in UIST, 2007"	thumbnail/relations.png	DontchevaUist07.txt	http://research.microsoft.com/~sdrucker/Video/DontchevaUist07.mov
45	Web Search Variability	"Understanding the extent to which people's search behaviors differ in terms of the interaction flow and information targeted is important in designing interfaces to help World Wide Web users search more effectively. In this paper we describe a longitudinal log-based study that investigated variability in people's interaction behavior when engaged in search-related activities on the Web. We analyze the search interactions of more than two thousand volunteer users over a five-month period, with the aim of characterizing differences in their interaction styles. The findings of our study suggest that there are dramatic differences in variability in key aspects of the interaction within and between users, and within and between the search queries they submit. Our findings also suggest two classes of extreme user navigators and explorers whose search interaction is highly consistent or highly variable. Lessons learned from these users can inform the design of tools to support effective Web-search interactions for everyone."	White	WWW	"Visualization,UI,Search,Web"	2007	researchImages/websearch.png	http://research.microsoft.com/en-us/um/people/ryenw/talks/pdf/WhiteDruckerWWW2007.pdf	UI-Information	"Investigating Behavioral Variability in Web Search, Ryen W. White and Steven M. Drucker  16th International World Wide Web Conference (WWW 2007), Pages: 21-30 Banff, Canada, May 2007"	thumbnail/websearch.png	WhiteWWW2007.txt	
46	FaceRec	"We propose a method for face recognition based on a discriminative linear projection. In this formulation images are treated as tensors, rather than the more conventional vector of pixels. Projections are pursued sequentially and take the form of a rank one tensor, i.e., a tensor which is the outer product of a set of vectors. A novel and effective technique is proposed to ensure that the rank one tensor projections are orthogonal to one another. These constraints on the tensor projections provide a strong inductive bias and result in better generalization on small training sets. Our work is related to spectrum methods, which achieve orthogonal rank one projections by pursuing consecutive projections in the complement space of previous projections. Although this may be meaningful for applications such as reconstruction, it is less meaningful for pursuing discriminant projections. Our new scheme iteratively solves an eigenvalue problem with orthogonality constraints on one dimension, and solves unconstrained eigenvalue problems on the other dimensions. Experiments demonstrate that on small and medium sized face recognition datasets, this approach outperforms previous embedding methods. On large face datasets this approach achieves results comparable with the best, often using fewer discriminant projections."	"Hua,Viola"	CVPR	Machine Learning	2007	researchImages/facerec.png	http://users.eecs.northwestern.edu/~ganghua/publication/CVPR07a.pdf	Machine Learning	"Gang Hua, Paul Viola, and Steven Drucker, ""Face Recognition using Discriminatively Trained Orthogonal Rank One Tensor Projections"", in Proc. IEEE Conf. on Computer Vision and Pattern Recognition (CVPR'2007), Minneaplois, MN, 2007."	thumbnail/facerec.png	CVPR07a.txt	
47	Search Workshop	"The model of search as a turn-taking dialogue between the user and an intermediary has remained unchanged for decades. However, there is growing interest within the search community in evolving this model to support search-driven information exploration activities. So-called exploratory search describes a class of search activities that move beyond fact retrieval toward fostering learning, investigation, and information use. Exploratory search interaction focuses on the user-system communication essential during exploratory search processes. Given this user-centered focus, the CHI conference is an ideal venue to discuss mechanisms to support exploratory searchbehaviors. Specifically, this workshop aims to gather researchers, academics, and practitioners working in human-computer interaction, information retrieval, and other related disciplines, for a discussion of the issues relating to the design and evaluation of interfaces to help users explore, learn, and use information. These are important issues with far-reaching implications for how many computer users accomplish their tasks."	"White,Marchionini,Hearst,schraefel"	SIGCHI	"Visualization,UI,Search,Web"	2007	researchImages/ExpSearchint.png	http://research.microsoft.com/en-us/um/people/sdrucker/papers/p2877-white.pdf	UI-Information	"White RW, Drucker SM, Marchionini G, Hearst M, schraefel MC. Exploratory search and HCI: designing and evaluating interfaces to support exploratory search interaction [Internet]. In: CHI '07 extended abstracts on Human factors in computing systems. San Jose, CA, USA: ACM; 2007 [cited 2010 Aug 10]. p. 2877-2880"	thumbnail/ExpSearchint.png	p2877-white.txt	http://research.microsoft.com/~sdrucker/papers/uist2008annotating.pdf
48	Annotation Gigapixel Images	"Panning and zooming interfaces for exploring very large images containing billions of pixels (gigapixel images) have recently appeared on the internet. This paper addresses issues that arise when creating and rendering auditory and textual annotations for such images. In particular, we define a distance metric between each annotation and any view resulting from panning and zooming on the image. The distance then informs the rendering of audio annotations and text labels. We demonstrate the annotation system on a number of panoramic images."	"Cohen,Luan,Kopf,Xu"	UIST	"Visualization,UI,Photos"	2008	researchImages/annotategigapixel.jpg	http://research.microsoft.com/~sdrucker/papers/uist2008annotating.pdf	Photos	"Luan, Q, Drucker, S.M., Kopf, J., Xu, Y, Cohen, M.F. Annotating Gigapixel Images, UIST 2008"	thumbnail/annotategigapixel.jpg	uist2008annotating.txt	http://research.microsoft.com/~sdrucker/video/Pixaura_CHI_08_v3.mov
49	Pixaura	"Current advances in digital technology promote capturing and storing more digital photos than ever. While photo collections are growing in size, the amount of time that can be devoted to viewing, managing, and sharing digital photos remains constant. Photo decision-making and selection has been identified as key to addressing this concern. After conducting exploratory research on photo decision-making including a wide-scale survey of user behaviors, detailed contextual inquiries, and longer-term diary studies, Pixaura was designed to address problems that emerged from our research. Specifically, Pixaura aims to bridge the gap between importing source photos and sharing them with others, by supporting tentative decision-making within the selection process. For this experience, the system incorporates certain core elements: 1) flexibility to experiment with relationships between photos and groups of photos, 2) the ability to closely couple photos while sharing only a subset of those photos, and 3) a tight connection between the photo selection and photo sharing space."	"Elgart,Kamppari,Lewis,Prasad,Rhee,Satpathy"	HCI	"UI,Photos"	2008	researchImages/pixAura.jpg	http://research.microsoft.com/~sdrucker/papers/HCI_2008_TentativeDecisionsPixaurafinal.pdf	Photos	"Elgart, Kamppari, Lewis, Prasad, Rhee, Satpathy, Drucker, Pixaura: Supporting Tentative Decision Making when Selecting and Sharing Digital Photos, HCI 2008"	thumbnail/pixAura.jpg	HCI_2008_TentativeDecisionsPixaurafinal.txt	
50	Visual Snippets	"People regularly interact with different representations of Web pages. A person looking for new information may initially find a Web page represented as a short snippet rendered by a search engine. When he wants to return to the same page the next day, the page may instead be represented by a link in his browser history. Previous research has explored how to best represent Web pages in support of specific task types, but, as we find in this paper, consistency in representation across tasks is also important. We explore how different representations are used in a variety of contexts and present a compact representation that supports both the identification of new, relevant Web pages and the re-finding of previously viewed pages."	"Teevan,Cutrell,Fisher,Ramos,Andre,Hu"	SIGCHI	"UI,Information,Visualization,Design,Search"	2009	researchImages/thumbnail_visualsnippets.png	http://research.microsoft.com/~sdrucker/papers/2008CHI_VisualSnippets.pdf	Visualization	"Teevan, J. Cutrell, E., Fisher, D., Drucker, S.M., Ramos, G., Andre, P., Hu, C., Visual Snippets: Summarizing Web Pages for Search and Revisitation"	thumbnail/thumbnail_visualsnippets.png	2008CHI_VisualSnippets.txt	http://research.microsoft.com/~sdrucker/video/facetPatchCameraReady.mov
51	Contextual Facets	"We present contextual facets, a novel user interface technique for navigating websites that publish large collections of semi-structured data. Contextual facets extend traditional faceted navigation techniques by transforming webpage elements into user interface components for filtering and retrieving related webpages. To investigate users' reactions to contextual facets, we built FacetPatch, a web browser that automatically generates contextual facet interfaces. As the user browses the web, FacetPatch automatically extracts semi-structured data from collections of webpages and overlays contextual facets on top of the current page. Participants in an exploratory user evaluation of FacetPatch were enthusiastic about contextual facets and often preferred them to an existing, familiar faceted navigation interface. We discuss how we improved the design of contextual facets and FacetPatch based on the results of this study."	"Dontcheva,Medynskiy"	SIGCHI	"UI,Information,Search"	2009	researchImages/thumbnail_contextualfacets.png	http://research.microsoft.com/~sdrucker/papers/2008CHI_Contextual_Facets.pdf	UI-Information	"Medynskiy, Y., Dontcheva, M. Drucker, S.M., Exploring Websites through Contextual Facets, SIGCHI 2009."	thumbnail/thumbnail_contextualfacets.png	2008CHI_Contextual_Facets.txt	
52	reForm	"There are not enough programmers to support all end user goals by building websites, mashups, and browser extensions. This paper presents reform, a system that envisions roles for both programmers and end-users in creating enhancements of existing websites that support new goals. Programmers author a traditional mashup or browser extension, but instead of writing a web scraper by hand, the reform system enables novice end users to attach the mashup to their websites of interest. reform both makes scraping easier for the programmer and carries the benefit that endusers can retarget the enhancements towards completely different web sites, using a new programming by example interface and machine learning algorithm for web data extraction. This work presents reform's architecture, algorithms, user interface, evaluation, and five example reform enabled enhancements that provide a step towards our goal of write-once apply-anywhere user interface enhancements."	"Toomim,Dontcheva,Rahimi,Thomson,Landay"	SIGCHI	"UI,Information,Web"	2009	researchImages/thumbnail_reform.jpg	http://research.microsoft.com/~sdrucker/papers/2008CHI_reform.pdf	UI-Information	"Toomim, M., Drucker, S.M., Dontcheva, M., Rahimi, A., Thomson, B., Landay, J.A., Attaching UI Enhancements to Websites with End Users, SIGCHI 2009."	thumbnail/thumbnail_reform.jpg	2008CHI_reform.txt	http://research.microsoft.com/~sdrucker/video/ThumbtackFinal/ThumbtackIntroductionVideo.wmv
53	LiveLabs Pivot Viewer	"Pivot is an experimental application for exploring large data sets with smooth visual interactions. The application originally was released by Microsoft Live Labs in October 2009, and it is being re-released by Microsoft Research to enable the research community to continue to use it for experiments. If you have Internet Explorer 9 installed, disable GPU rendering in Internet Explorer to enable Pivot to work correctly. The Pivot collection home page points to content no longer available, but Pivot still can be used for viewing user-created local or web collections. This standalone version of Pivot is unsupported and might stop functioning properly in the future."	"Flake,Brewer"	InternalReport	"UI,Information,Web"	2009	researchImages/pivot.png		Visualization	http://research.microsoft.com/en-us/downloads/dd4a479f-92d6-496f-867d-666c87fbaada/default.aspx	thumbnail/pivot.png		http://research.microsoft.com/~sdrucker/video/ThumbtackFinal/ThumbtackIntroductionVideo.wmv
54	LiveLabs Thumbtack	"Thumbtack is an easy way to save links, photos, and anything else you can find on bunch of different Web sites to a single place.  Grab the stuff you want, put it into a Thumbtack collection, then get to it from anywhere you can get online.  Share it with your friends, or just keep it for yourself. It's way easier than sending a bunch of links in an e-mail, and even easier than setting lots of favorites in your browser."	"Hydrie,Cutler,Oliveira,Bergeron,Lakshmiratan"	InternalReport	"UI,Information,Web"	2009	researchImages/thumbtackthumb.jpg		UI-Information	Internal Report	thumbnail/thumbtackthumb.jpg		
55	WebCharts	"In order to use new visualizations, most toolkits require application developers to rebuild their applications and distribute new versions to users. The WebCharts Framework take a different approach by hosting Javascript from within an application and providing a standard data and events interchange.. In this way, applications can be extended dynamically, with a wide variety of visualizations. We discuss the benefits of this architectural approach, contrast it to existing techniques, and give a variety of examples and extensions of the basic system."	"Fisher,Fernandez,Ruble"	Infovis	"UI,Visualization"	2010	researchImages/webcharts.png	http://research.microsoft.com/~sdrucker/papers/webcharts.pdf	Visualization	"Danyel Fisher, Steven Drucker, Roland Fernandez, and Scott Ruble, Visualizations Everywhere: A Multiplatform Infrastructure for Linked Visualizations, in Transactions on Visualization and Computer Graphics, IEEE, Salt Lake City, UT, November 2010"	thumbnail/webcharts.png	webcharts.txt	http://research.microsoft.com/~sdrucker/video/icluster_INTERACT11.mov
56	iClusterTheory	"Interactive clustering refers to situations in which a human labeler is willing to assist a learning algorithm in automatically clustering items. We present a related but somewhat different task, assisted clustering, in which a user creates explicit groups of items from a large set and wants suggestions on what items to add to each group. While the traditional approach to interactive clustering has been to use metric learning to induce a distance metric, our situation seems equally amenable to classification. Using clusterings of documents from human subjects, we found that one or the other method proved to be superior for a given cluster, but not uniformly so. We thus developed a hybrid mechanism for combining the metric learner and the classifier. We present results from a large number of trials based on human clusterings, in which we show that our combination scheme matches and often exceeds the performance of a method which exclusively uses either type of learner."	"Fisher,Basu,Lu"	AAAI	"UI,Machine Learning"	2010	researchImages/iclustering2.png	http://research.microsoft.com/~sdrucker/papers/iclustering-aaai-2010.pdf	Machine Learning	"Sumit Basu, Danyel Fisher, Steven M. Drucker, and Hao Lu, Assisting Users with Clustering Tasks by Combining Metric Learning and Classification, in Proceedings of the Twenty-Fourth Conference on Artificial Intelligence (AAAI 2010), American Association for Artificial Intelligence , July 2010"	thumbnail/iclustering2.png	iClustering-aaai-2010.txt	
57	Gestalt	"We present Gestalt, a development environment designed tosupport the process of applying machine learning. While traditional programming environments focus on source code, we explicitly support both code and data. Gestalt allows developers to implement a classification pipeline, analyze data as it moves through that pipeline, and easily transition between implementation and analysis. An experiment shows this significantly improves the ability of developers to find and fix bugs in machine learning systems. Our discussion of Gestalt and our experimental observations provide new insight into general-purpose support for the  achine learning process."	"Patel,Bancroft,Fogarty,Ko,Landay"	UIST	"UI,Information,Visualization,Machine Learning,Programming"	2010	researchImages/gestalt.png	http://research.microsoft.com/~sdrucker/papers/uist2010gestalt.pdf	Machine Learning	"Patel, K, N. Bancroft, S.M.Drucker, J. Fogarty, A. Ko, J.Landay, Gestalt: Integrated Support for Implementation and Analysis in Machine Learning"	thumbnail/gestalt.png	uist2010gestalt.txt	http://www.youtube.com/watch?v=9XC-D2L93jA&feature=player_embedded
58	Prospect	"A human's ability to diagnose errors, gather data, and generate features in order to build better models is largely untapped. We hypothesize that analyzing results from multiple models can help people diagnose errors by understanding relationships among data, features, and algorithms. These relationships might otherwise be masked by the bias inherent to any individual model. We demonstrate this approach in our Prospect system, show how multiple models can be used to detect label noise and aid in generating new features, and validate our methods in a pair of experiments. "	"Patel,Kapoor,Fogarty,Ko,Tan"	IJCAI	"UI,Visualization,Machine Learning"	2011	researchImages/prospect.png	http://research.microsoft.com/~sdrucker/papers/ijcai11.pdf	Machine Learning	"Patel, K, S.M.Drucker, J. Fogarty, A. Kapoor, D.S.Tan, Prospect: Using Multiple Models to Understand Data, Proceedings of the International Joint Conference on Artificial Intelligence (IJCAI 2011)"	thumbnail/prospect.png	ijcai11.txt	http://research.microsoft.com/~sdrucker/video/visavis.wmv
59	Vis-a-vis	"Finding ways for information workers to easily create and modify visualizations that display their own data has been a long time goal within the visualization community. We describe Vis-a-vis, a declarative language for defining and extending visualizations directly within spreadsheets. Vis-a-vis allows users to directly bind data and formula to the visual attributes of an extensible set of visualization primitives. The visualizations that Vis-a-vis creates can be shared and modified easily, allowing users to modify existing visualizations. This approach allows users to select visualizations from a gallery, to customize them easily, or to create novel visualizations. The approach leverages familiar formulas and data from spreadsheets. We prototype a system that uses this language, and use it to build a number of standard and custom visualizations, and gather formative feedback from a small user study."	"Fisher,Fernandez,Chen"	InternalReport	"UI,Information,Visualization,Design"	2011	researchImages/visavis.png	http://research.microsoft.com/apps/pubs/default.aspx?id=159225	Visualization	"Danyel Fisher, Steven Drucker, Roland Fernandez, and Xiaoji Chen, Vis-a-vis: A Visual Language for Spreadsheet Visualizations, no. MSR-TR-2011-142, June 2011"	thumbnail/visavis.png	VisAVis.txt	http://research.microsoft.com/~sdrucker/video/icluster_INTERACT11.mov
60	iCluster	"Sorting and clustering large numbers of documents can be an overwhelming task: manual solutions tend to be slow, while machine learning systems often present results that don?Çÿt align well with users' intents. We created and evaluated a system for helping users sort large numbers of documents into clusters. iCluster has the capability to recommend new items for existing clusters and appropriate clusters for items. The recommendations are based on a learning model that adapts over time ?Çô as the user adds more items to a cluster, the system?Çÿs model improves and the recommendations become more relevant. Thirty-two subjects used iCluster to sort hundreds of data items both with and without recommendations; we found that recommendations allow users to sort items more rapidly. A pool of 161 raters then assessed the quality of the resulting clusters, finding that clusters generated with recommendations were of statistically indistinguishable quality. Both the manual and assisted methods were substantially better than a fully automatic method."	"Fisher,Basu"	Interact	"UI,Visualization,Machine Learning"	2011	researchImages/iclustering1.png	http://research.microsoft.com/~sdrucker/papers/icluster_nonanonymous_sdrucker_cameraready.pdf	Visualization	"Steven M. Drucker, Danyel Fisher, and Sumit Basu, Helping Users Sort Faster with Adaptive Machine Learning Recommendations, in Proceedings of Interact 2011, Springer, September 2011"	thumbnail/iclustering1.png	icluster_nonanonymous_sdrucker_cameraready.txt	http://www.youtube.com/watch?feature=player_embedded&v=3BmO3TILucQ
61	Cliplets	"We explore creating cliplets, a form of visual media that juxtaposes still image and video segments, both spatially and temporally, to expressively abstract a moment. Much as in cinemagraphs, the tension between static and dynamic elements in a cliplet reinforces both aspects, strongly focusing the viewer's attention. Creating this type of imagery is challenging without professional tools and training. We develop a set of idioms, essentially spatiotemporal mappings, that characterize cliplet elements, and use these idioms in an interactive system to quickly compose a cliplet from ordinary handheld video. One difficulty is to avoid artifacts in the cliplet composition without resorting to extensive manual input. We address this with automatic alignment, looping optimization and feathering, simultaneous matting and compositing, and Laplacian blending. A key user-interface challenge is to provide affordances to define the parameters of the mappings from input time to output time while maintaining a focus on the cliplet being created. We demonstrate the creation of a variety of cliplet types. We also report on informal feedback as well as a more structured survey of users."	"Joshi,Metha,Stollnitz,Cohen,Hoppe,Uyttendaele"	UIST	"UI,Graphics,Photos"	2012	researchImages/cliplets.png	https://research.microsoft.com/en-us/um/redmond/projects/ClipletsDesktop/paper/paper_uist_final.pdf	Photos	"Joshi, N., Metha, S., Drucker, S., Stollnitz, E., Hoppe, H., Uyttendaele, M., and Cohen, M. Cliplets: Juxtaposing Still and Dynamic Imagery. ACM UIST 2012."	thumbnail/cliplets.png	cliplets.txt	
62	Completion	"We present a data-driven method to predict the performance of an image completion method. Our image completion method is based on the state-of-the-art non-parametric framework of Wexler et al. [2007]. It uses automatically derived search space constraints for patch source regions, which lead to improved texture synthesis and semantically more plausible results. These constraints also facilitate performance prediction by allowing us to correlate output quality against features of possible regions used for synthesis. We use our algorithm to first crop and then complete stitched panoramas. Our predictive ability is used to find an optimal crop shape before the completion is computed, potentially saving significant amounts of computation. Our optimized crop includes as much of the original panorama as possible while avoiding regions that can be less successfully filled in. Our predictor can also be applied for hole filling in the interior of images. In addition to extensive comparative results, we ran several user studies validating our predictive feature, good relative quality of our results against those of other state-of-the-art algorithms, and our automatic cropping algorithm."	"Kopf,Kienzle,Kang"	SIGGRAPHAsia	"Graphics,Photos"	2012	researchImages/completion.png	http://research.microsoft.com/en-us/um/people/sdrucker/papers/completion.pdf	Photos	"Johannes Kopf, Wolf Kienzle, Steven Drucker, Sing Bing Kang, Quality Prediction for Image Completion, ACM Transactions on Graphics (Proceedings of SIGGRAPH Asia 2012), 31(6), Article no. 196, 2012"	thumbnail/completion.png	completion.txt	http://research.microsoft.com/apps/video/default.aspx?id=173013
63	Foveated	"We present a data-driven method to predict the performance of an image completion method. Our image completion method is based on the state-of-the-art non-parametric framework of Wexler et al. [2007]. It uses automatically derived search space constraints for patch source regions, which lead to improved texture synthesis and semantically more plausible results. These constraints also facilitate performance prediction by allowing us to correlate output quality against features of possible regions used for synthesis. We use our algorithm to first crop and then complete stitched panoramas. Our predictive ability is used to find an optimal crop shape before the completion is computed, potentially saving significant amounts of computation. Our optimized crop includes as much of the original panorama as possible while avoiding regions that can be less successfully filled in. Our predictor can also be applied for hole filling in the interior of images. In addition to extensive comparative results, we ran several user studies validating our predictive feature, good relative quality of our results against those of other state-of-the-art algorithms, and our automatic cropping algorithm."	"Guenter,Finch,Tan,Snyder"	SIGGRAPHAsia	"Graphics,Photos"	2012	researchImages/foveated.png	http://research.microsoft.com/apps/pubs/default.aspx?id=176610	Graphics	"Foveated 3D Graphics, Brian Guenter, Mark Finch, Steven Drucker, Desney Tan, John Snyder ACM SIGGRAPH Asia 2012."	thumbnail/foveated.png	foveateduserstudy07.txt	
